2024-07-18 07:46:42.744 | ERROR    | __main__:extract_price_from_page:93 - Aucun nombre n'a été trouvé: list index out of range
2024-07-18 07:49:02.017 | ERROR    | __main__:extract_price_from_page:87 - Aucun aucun noeud contenant le prix n'a été trouvé.
2024-07-18 08:05:17.811 | ERROR    | __main__:extract_stock_quantity_from_page:110 - Aucun noeud 'p.instock.availability' n'a été trouvé sur la page : 'NoneType' object has no attribute 'text'
2024-07-20 08:38:13.970 | ERROR    | __main__:get_book_price:113 - Erreur lors de la requête HTTP : 404 Client Error: Not Found for url: https://books.toscrape.com/in-her-wake_980/index.html
2024-07-20 08:38:17.665 | ERROR    | __main__:get_book_price:113 - Erreur lors de la requête HTTP : 404 Client Error: Not Found for url: https://books.toscrape.com/how-music-works_979/index.html
2024-07-20 08:38:21.404 | ERROR    | __main__:get_book_price:113 - Erreur lors de la requête HTTP : 404 Client Error: Not Found for url: https://books.toscrape.com/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
2024-07-20 08:38:25.066 | ERROR    | __main__:get_book_price:113 - Erreur lors de la requête HTTP : 404 Client Error: Not Found for url: https://books.toscrape.com/chase-me-paris-nights-2_977/index.html
2024-07-20 08:38:28.734 | ERROR    | __main__:get_book_price:113 - Erreur lors de la requête HTTP : 404 Client Error: Not Found for url: https://books.toscrape.com/black-dust_976/index.html
2024-07-20 08:38:32.430 | ERROR    | __main__:get_book_price:113 - Erreur lors de la requête HTTP : 404 Client Error: Not Found for url: https://books.toscrape.com/birdsong-a-story-in-pictures_975/index.html
2024-07-20 08:38:36.111 | ERROR    | __main__:get_book_price:113 - Erreur lors de la requête HTTP : 404 Client Error: Not Found for url: https://books.toscrape.com/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
2024-07-20 08:38:39.772 | ERROR    | __main__:get_book_price:113 - Erreur lors de la requête HTTP : 404 Client Error: Not Found for url: https://books.toscrape.com/aladdin-and-his-wonderful-lamp_973/index.html
2024-07-20 08:38:45.051 | ERROR    | __main__:get_book_price:113 - Erreur lors de la requête HTTP : 404 Client Error: Not Found for url: https://books.toscrape.com/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
2024-07-20 08:38:48.730 | ERROR    | __main__:get_book_price:113 - Erreur lors de la requête HTTP : 404 Client Error: Not Found for url: https://books.toscrape.com/wall-and-piece_971/index.html
2024-07-20 08:38:52.391 | ERROR    | __main__:get_book_price:113 - Erreur lors de la requête HTTP : 404 Client Error: Not Found for url: https://books.toscrape.com/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
2024-07-20 08:38:56.070 | ERROR    | __main__:get_book_price:113 - Erreur lors de la requête HTTP : 404 Client Error: Not Found for url: https://books.toscrape.com/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
2024-07-20 08:38:59.775 | ERROR    | __main__:get_book_price:113 - Erreur lors de la requête HTTP : 404 Client Error: Not Found for url: https://books.toscrape.com/the-elephant-tree_968/index.html
2024-07-20 08:39:03.432 | ERROR    | __main__:get_book_price:113 - Erreur lors de la requête HTTP : 404 Client Error: Not Found for url: https://books.toscrape.com/the-bear-and-the-piano_967/index.html
2024-07-20 08:39:07.116 | ERROR    | __main__:get_book_price:113 - Erreur lors de la requête HTTP : 404 Client Error: Not Found for url: https://books.toscrape.com/sophies-world_966/index.html
2024-07-20 08:39:10.793 | ERROR    | __main__:get_book_price:113 - Erreur lors de la requête HTTP : 404 Client Error: Not Found for url: https://books.toscrape.com/penny-maybe_965/index.html
2024-07-20 08:39:14.450 | ERROR    | __main__:get_book_price:113 - Erreur lors de la requête HTTP : 404 Client Error: Not Found for url: https://books.toscrape.com/maude-1883-1993she-grew-up-with-the-country_964/index.html
2024-07-20 08:39:18.132 | ERROR    | __main__:get_book_price:113 - Erreur lors de la requête HTTP : 404 Client Error: Not Found for url: https://books.toscrape.com/in-a-dark-dark-wood_963/index.html
2024-07-20 08:39:21.803 | ERROR    | __main__:get_book_price:113 - Erreur lors de la requête HTTP : 404 Client Error: Not Found for url: https://books.toscrape.com/behind-closed-doors_962/index.html
2024-07-20 08:39:22.513 | ERROR    | __main__:get_book_price:113 - Erreur lors de la requête HTTP : 404 Client Error: Not Found for url: https://books.toscrape.com/you-cant-bury-them-all-poems_961/index.html
2024-07-20 08:39:26.192 | ERROR    | __main__:get_book_price:113 - Erreur lors de la requête HTTP : 404 Client Error: Not Found for url: https://books.toscrape.com/slow-states-of-collapse-poems_960/index.html
2024-07-20 08:39:29.883 | ERROR    | __main__:get_book_price:113 - Erreur lors de la requête HTTP : 404 Client Error: Not Found for url: https://books.toscrape.com/reasons-to-stay-alive_959/index.html
